REFERENCE	 DEGRADED	 PESQMOS	 MOSLQO	 SAMPLE_FREQ	 MODE
sounds\F05_440C020H_BUS_clean.wav	 sounds\F05_440C020H_BUS_MVDR.wav	 -1.000	 1.220	 16000	wb
sounds\F05_440C020H_BUS_clean.wav	 sounds\F05_440C020H_BUS.wav	 -1.000	 1.465	 16000	wb
sounds\F05_440C020I_BUS_clean.wav	 sounds\F05_440C020I_BUS_DSB.wav	 -1.000	 1.072	 16000	wb
sounds\F05_440C020I_BUS_clean.wav	 sounds\F05_440C020I_BUS_MVDR.wav	 -1.000	 1.127	 16000	wb
sounds\F05_440C020I_BUS_clean.wav	 sounds\F05_440C020I_BUS.wav	 -1.000	 1.229	 16000	wb
sounds\F05_440C020O_BUS_clean.wav	 sounds\F05_440C020O_BUS_DSB.wav	 -1.000	 1.098	 16000	wb
sounds\F05_440C020O_BUS_clean.wav	 sounds\F05_440C020O_BUS_MVDR.wav	 -1.000	 1.184	 16000	wb
sounds\F05_440C020O_BUS_clean.wav	 sounds\F05_440C020O_BUS.wav	 -1.000	 1.343	 16000	wb
sounds\F05_440C020P_BUS_clean.wav	 sounds\F05_440C020P_BUS_DSB.wav	 -1.000	 1.086	 16000	wb
sounds\F05_440C020P_BUS_clean.wav	 sounds\F05_440C020P_BUS_MVDR.wav	 -1.000	 1.201	 16000	wb
sounds\F05_440C020P_BUS_clean.wav	 sounds\F05_440C020P_BUS.wav	 -1.000	 1.286	 16000	wb
sounds\F05_440C020T_BUS_clean.wav	 sounds\F05_440C020T_BUS_DSB.wav	 -1.000	 1.060	 16000	wb
sounds\F05_440C020T_BUS_clean.wav	 sounds\F05_440C020T_BUS_MVDR.wav	 -1.000	 1.104	 16000	wb
sounds\F05_440C020T_BUS_clean.wav	 sounds\F05_440C020T_BUS.wav	 -1.000	 1.093	 16000	wb
sounds\F05_440C0210_BUS_clean.wav	 sounds\F05_440C0210_BUS_DSB.wav	 -1.000	 1.064	 16000	wb
sounds\F05_440C0210_BUS_clean.wav	 sounds\F05_440C0210_BUS_MVDR.wav	 -1.000	 1.162	 16000	wb
sounds\F05_440C0210_BUS_clean.wav	 sounds\F05_440C0210_BUS.wav	 -1.000	 1.156	 16000	wb
